mid_date, v [m/yr], satellite, dt (days)
2018-11-19T18:09:31.000Z,1196, Sentinel 2, 260 
2018-05-29T12:42:24.876Z,1459, Sentinel 1, 12 
2022-05-30T19:09:26.000Z,1242, Sentinel 2, 40 
2018-12-17T06:09:25.000Z,1203, Sentinel 2, 315 
2019-05-23T18:09:31.000Z,1237, Sentinel 2, 110 
2020-07-09T06:59:19.999Z,876, Sentinel 2, 105 
2019-12-21T06:39:20.000Z,824, Sentinel 2, 295 
2020-01-12T06:30:00.000Z,841, Sentinel 2, 225 
2021-09-02T19:09:41.000Z,837, Sentinel 2, 20 
2020-05-23T18:29:19.000Z,1111, Sentinel 2, 40 
2019-02-03T06:19:35.000Z,1197, Sentinel 2, 285 
2018-12-18T06:29:25.000Z,1201, Sentinel 2, 345 
2022-05-26T06:29:25.000Z,1234, Sentinel 2, 25 
2018-03-29T06:50:20.000Z,1199, Sentinel 2, 25 
2016-11-24T18:09:26.500Z,814, Sentinel 2, 250 
2018-10-28T06:59:55.000Z,1200, Sentinel 2, 295 
2022-07-09T06:09:25.000Z,1468, Sentinel 2, 15 
2018-05-13T18:59:21.000Z,1244, Sentinel 2, 50 
2019-07-31T06:30:05.000Z,938, Sentinel 2, 105 
2020-07-14T06:59:19.999Z,993, Sentinel 2, 15 
2020-06-22T06:19:25.000Z,1289, Sentinel 2, 15 
2018-12-04T18:09:21.000Z,1202, Sentinel 2, 350 
2017-08-15T06:30:00.000Z,1007, Sentinel 2, 75 
2018-09-01T18:29:44.000Z,1079, Sentinel 2, 20 
2021-08-21T07:09:15.000Z,806, Sentinel 2, 15 
2016-12-08T18:39:21.500Z,918, Sentinel 2, 360 
2018-11-30T06:19:20.000Z,1197, Sentinel 2, 305 
2020-08-14T06:29:20.000Z,552, Sentinel 2, 45 
2019-06-01T18:39:29.000Z,1204, Sentinel 2, 120 
2019-02-13T06:20:30.000Z,1197, Sentinel 2, 275 
2019-06-24T18:49:29.000Z,1188, Sentinel 2, 80 
2022-06-15T18:39:24.000Z,1282, Sentinel 2, 40 
2019-02-09T06:40:00.000Z,1189, Sentinel 2, 285 
2017-08-04T06:09:20.000Z,835, Sentinel 2, 5 
2021-07-22T06:19:15.000Z,1023, Sentinel 2, 105 
2019-04-12T06:29:30.000Z,1197, Sentinel 2, 25 
2017-01-11T18:20:06.500Z,900, Sentinel 2, 220 
2020-05-31T06:29:20.000Z,1083, Sentinel 2, 15 
2016-12-08T18:39:20.499Z,881, Sentinel 2, 320 
2022-07-19T06:59:25.000Z,1242, Sentinel 2, 15 
2018-05-26T06:09:54.999Z,1280, Sentinel 2, 15 
2020-07-11T06:49:20.000Z,1030, Sentinel 2, 5 
2018-08-07T06:20:25.000Z,1186, Sentinel 2, 105 
2021-07-22T18:29:19.000Z,1197, Sentinel 2, 30 
2019-08-12T18:30:01.000Z,873, Sentinel 2, 80 
2018-12-25T06:19:20.000Z,1201, Sentinel 2, 355 
2022-08-02T18:49:19.000Z,1029, Sentinel 2, 10 
2018-08-06T18:09:16.000Z,1233, Sentinel 2, 50 
2020-06-24T18:19:31.000Z,1162, Sentinel 2, 60 
2020-07-22T18:29:21.000Z,860, Sentinel 2, 50 
2020-07-04T06:59:19.999Z,1328, Sentinel 2, 15 
2019-12-17T06:09:15.000Z,799, Sentinel 2, 245 
2020-07-24T06:59:19.999Z,722, Sentinel 2, 25 
2020-08-10T18:09:21.000Z,592, Sentinel 2, 40 
2021-06-15T18:39:21.000Z,1084, Sentinel 2, 20 
2018-05-15T06:39:20.000Z,1267, Sentinel 2, 5 
2018-12-10T07:09:20.000Z,1210, Sentinel 2, 405 
2018-11-24T18:09:56.000Z,1205, Sentinel 2, 350 
2019-07-23T06:19:35.000Z,986, Sentinel 2, 105 
2019-01-02T06:30:19.999Z,1188, Sentinel 2, 195 
2018-05-18T18:59:19.000Z,1192, Sentinel 2, 10 
2020-05-25T06:09:20.000Z,1110, Sentinel 2, 25 
2018-06-09T06:39:25.000Z,1259, Sentinel 2, 75 
2018-01-21T18:19:21.000Z,1088, Sentinel 2, 290 
2020-05-07T18:09:21.000Z,1068, Sentinel 2, 30 
2021-09-02T18:19:39.000Z,797, Sentinel 2, 40 
2019-06-28T18:29:21.000Z,1082, Sentinel 2, 130 
2019-05-19T06:19:25.000Z,1211, Sentinel 2, 25 
2018-04-11T07:00:10.000Z,1225, Sentinel 2, 45 
2018-06-20T06:10:35.000Z,1204, Sentinel 2, 185 
2019-07-15T18:19:21.000Z,1027, Sentinel 2, 110 
2021-07-19T18:19:21.000Z,1077, Sentinel 2, 80 
2018-05-23T18:59:21.000Z,1237, Sentinel 2, 70 
2020-05-20T06:09:20.000Z,1006, Sentinel 2, 5 
2020-08-03T06:09:20.000Z,534, Sentinel 2, 15 
2020-08-18T06:09:20.000Z,595, Sentinel 2, 25 
2022-06-05T18:39:19.000Z,1258, Sentinel 2, 20 
2020-01-14T06:19:30.000Z,843, Sentinel 2, 265 
2022-05-09T06:39:20.000Z,1234, Sentinel 2, 15 
2019-02-06T06:29:50.000Z,1191, Sentinel 2, 295 
2019-06-21T18:39:21.000Z,1243, Sentinel 2, 70 
2016-10-30T18:09:16.500Z,897, Sentinel 2, 320 
2018-11-22T18:19:56.000Z,1207, Sentinel 2, 380 
2019-04-23T18:59:56.000Z,1218, Sentinel 2, 60 
2020-04-30T06:09:15.000Z,1036, Sentinel 2, 15 
2019-01-08T18:59:23.999Z,1209, Sentinel 2, 400 
2018-03-28T18:40:08.999Z,1197, Sentinel 2, 20 
2020-02-01T18:39:25.999Z,880, Sentinel 2, 340 
2021-07-08T18:49:21.000Z,1157, Sentinel 2, 60 
2020-05-20T18:19:14.000Z,1089, Sentinel 2, 40 
2016-11-22T18:19:21.500Z,820, Sentinel 2, 260 
2020-07-18T18:49:21.000Z,869, Sentinel 2, 90 
2018-12-09T06:49:20.000Z,1208, Sentinel 2, 405 
2016-12-28T18:39:21.500Z,882, Sentinel 2, 320 
2017-08-26T18:09:36.000Z,817, Sentinel 2, 40 
2021-06-09T18:19:19.000Z,1005, Sentinel 2, 10 
2016-07-24T18:50:23.000Z,967, Sentinel 2, 60 
2018-12-29T18:59:23.999Z,1216, Sentinel 2, 400 
2022-07-07T06:19:25.000Z,1477, Sentinel 2, 15 
2019-06-15T19:09:20.999Z,1213, Sentinel 2, 80 
2018-06-02T18:59:19.000Z,1268, Sentinel 2, 20 
2017-02-13T22:19:42.070Z,893, Sentinel 1, 6 
2019-05-17T18:39:21.000Z,1218, Sentinel 2, 80 
2020-06-26T18:09:21.000Z,983, Sentinel 2, 90 
2018-11-25T07:09:20.000Z,1206, Sentinel 2, 375 
2018-12-30T07:09:15.000Z,1169, Sentinel 2, 245 
2019-03-23T18:40:34.000Z,1212, Sentinel 2, 20 
2019-07-18T06:19:30.000Z,1223, Sentinel 2, 25 
2017-07-06T18:39:21.000Z,1223, Sentinel 2, 60 
2018-06-09T18:49:36.000Z,1287, Sentinel 2, 50 
2022-06-03T18:49:19.000Z,1256, Sentinel 2, 30 
2019-07-26T06:30:05.000Z,955, Sentinel 2, 115 
2020-06-24T06:09:20.000Z,1143, Sentinel 2, 65 
2019-12-19T18:09:14.000Z,799, Sentinel 2, 240 
2022-06-15T06:29:25.000Z,1272, Sentinel 2, 5 
2021-08-26T06:19:20.000Z,792, Sentinel 2, 5 
2019-12-24T06:49:20.000Z,816, Sentinel 2, 275 
2019-07-16T06:30:05.000Z,983, Sentinel 2, 135 
2018-04-26T06:59:40.000Z,1240, Sentinel 2, 55 
2018-11-17T06:09:20.000Z,1207, Sentinel 2, 385 
2019-05-15T18:49:30.999Z,1228, Sentinel 2, 90 
2018-05-13T18:09:21.000Z,1246, Sentinel 2, 80 
2019-05-14T18:29:29.000Z,1192, Sentinel 2, 10 
2020-01-03T06:49:20.000Z,827, Sentinel 2, 295 
2021-06-22T07:09:15.000Z,1136, Sentinel 2, 35 
2019-06-10T06:59:25.000Z,1231, Sentinel 2, 45 
2022-06-10T18:39:24.000Z,1071, Sentinel 2, 50 
2021-12-27T12:42:47.871Z,1088, Sentinel 1, 12 
2018-11-24T06:49:25.000Z,1198, Sentinel 2, 325 
2018-09-02T06:39:15.000Z,1080, Sentinel 2, 15 
2018-06-07T18:09:56.000Z,1249, Sentinel 2, 10 
2018-05-16T06:59:19.999Z,1243, Sentinel 2, 55 
2022-03-24T18:29:59.000Z,1370, Sentinel 2, 20 
2004-07-09T17:52:13.466Z,884, Landsat 7, 16 
2018-05-21T06:59:19.999Z,1255, Sentinel 2, 65 
2022-08-16T06:19:25.000Z,801, Sentinel 2, 25 
2018-12-29T18:10:41.000Z,1191, Sentinel 2, 180 
2019-12-04T18:59:19.000Z,796, Sentinel 2, 260 
2022-06-12T18:29:31.000Z,1247, Sentinel 2, 10 
2016-04-28T18:09:39.500Z,1122, Sentinel 2, 50 
2020-08-13T18:19:31.000Z,552, Sentinel 2, 40 
2018-08-26T18:59:09.000Z,1080, Sentinel 2, 10 
2008-06-12T06:08:27.307Z,796, Landsat 7, 11 
2020-07-09T06:59:19.999Z,1056, Sentinel 2, 5 
2018-05-31T06:09:54.999Z,1254, Sentinel 2, 15 
2019-05-29T07:09:20.000Z,1174, Sentinel 2, 55 
2020-05-10T06:59:15.000Z,1096, Sentinel 2, 55 
2020-08-11T18:30:21.000Z,664, Sentinel 2, 90 
2005-06-22T18:17:25.957Z,984, Landsat 7, 34 
2021-07-28T18:49:21.000Z,1040, Sentinel 2, 80 
2018-04-22T06:30:19.999Z,1216, Sentinel 2, 75 
2016-06-21T18:39:22.000Z,1287, Sentinel 2, 60 
2020-01-30T06:39:40.000Z,868, Sentinel 2, 275 
2019-12-02T18:19:26.000Z,886, Sentinel 2, 350 
2017-08-12T06:19:20.000Z,942, Sentinel 2, 35 
2016-06-11T18:40:14.500Z,1204, Sentinel 2, 80 
2020-10-09T12:42:44.290Z,678, Sentinel 1, 12 
2020-07-09T06:09:20.000Z,1082, Sentinel 2, 5 
2018-02-02T06:50:25.000Z,1103, Sentinel 2, 255 
2018-06-06T18:40:04.000Z,1217, Sentinel 2, 160 
2018-07-28T18:30:21.000Z,1201, Sentinel 2, 120 
2021-06-24T19:09:16.000Z,1055, Sentinel 2, 100 
2020-07-21T18:09:19.000Z,813, Sentinel 2, 30 
2018-12-20T06:19:20.000Z,1201, Sentinel 2, 345 
2020-07-04T06:09:20.000Z,1334, Sentinel 2, 15 
2017-07-23T06:20:05.000Z,1046, Sentinel 2, 125 
2019-12-25T07:09:20.000Z,897, Sentinel 2, 375 
2018-04-21T18:20:11.000Z,1254, Sentinel 2, 50 
2016-11-18T18:39:22.500Z,918, Sentinel 2, 360 
2020-07-24T06:59:19.999Z,731, Sentinel 2, 25 
2022-06-03T06:39:25.000Z,1280, Sentinel 2, 5 
2022-05-03T07:09:15.000Z,1208, Sentinel 2, 15 
2019-01-26T06:59:15.000Z,1193, Sentinel 2, 315 
2022-06-10T18:39:24.000Z,1072, Sentinel 2, 50 
2022-09-13T18:40:06.000Z,673, Sentinel 2, 10 
2021-05-23T18:29:21.000Z,994, Sentinel 2, 40 
2019-06-04T18:49:21.000Z,1218, Sentinel 2, 10 
2019-07-27T18:59:54.000Z,965, Sentinel 2, 100 
2019-07-18T06:19:25.000Z,1060, Sentinel 2, 95 
2017-07-08T18:29:21.000Z,1083, Sentinel 2, 110 
2019-08-12T18:30:01.000Z,855, Sentinel 2, 80 
2018-06-08T18:29:19.000Z,1249, Sentinel 2, 10 
2020-06-06T06:49:20.000Z,1112, Sentinel 2, 5 
2019-11-05T07:09:20.000Z,906, Sentinel 2, 375 
2021-08-29T18:39:19.000Z,790, Sentinel 2, 20 
2020-04-30T06:09:15.000Z,1058, Sentinel 2, 25 
2019-01-14T18:29:24.000Z,1196, Sentinel 2, 330 
2020-06-04T18:19:19.000Z,1160, Sentinel 2, 50 
2020-08-05T18:09:21.000Z,671, Sentinel 2, 50 
2017-08-20T06:30:00.000Z,969, Sentinel 2, 65 
2016-06-17T18:59:22.000Z,1317, Sentinel 2, 40 
2020-06-27T06:19:25.000Z,1309, Sentinel 2, 25 
2018-12-20T18:29:54.000Z,1193, Sentinel 2, 320 
2017-07-09T18:49:21.000Z,1124, Sentinel 2, 80 
2019-11-29T18:59:21.000Z,905, Sentinel 2, 380 
2019-07-23T07:09:40.000Z,981, Sentinel 2, 105 
2018-06-25T06:59:15.000Z,1216, Sentinel 2, 135 
2017-01-29T06:19:20.500Z,914, Sentinel 2, 395 
2018-04-20T18:50:21.000Z,1210, Sentinel 2, 70 
2017-07-25T18:19:21.000Z,1094, Sentinel 2, 70 
2018-04-14T18:30:19.000Z,1217, Sentinel 2, 60 
2021-05-13T07:09:15.000Z,996, Sentinel 2, 55 
2020-06-03T18:49:19.000Z,1078, Sentinel 2, 10 
2019-08-28T18:50:13.999Z,682, Sentinel 2, 50 
2018-06-15T19:10:34.000Z,1197, Sentinel 2, 180 
2021-04-20T19:09:11.000Z,978, Sentinel 2, 10 
2022-06-20T18:39:24.000Z,1218, Sentinel 2, 10 
2019-12-17T18:19:24.000Z,827, Sentinel 2, 290 
2014-04-15T18:06:30.717Z,1116, Landsat 7, 32 
2018-04-16T06:10:00.000Z,1201, Sentinel 2, 55 
2019-11-23T06:29:25.000Z,889, Sentinel 2, 355 
2010-06-25T06:17:02.564Z,1082, Landsat 7, 25 
2020-01-19T06:19:39.999Z,856, Sentinel 2, 255 
2021-06-23T06:39:20.000Z,1127, Sentinel 2, 25 
2019-08-24T18:19:21.000Z,687, Sentinel 2, 30 
2018-12-07T06:09:25.000Z,1207, Sentinel 2, 415 
2019-07-10T06:09:20.000Z,1116, Sentinel 2, 85 
2019-07-20T18:19:21.000Z,1017, Sentinel 2, 100 
2021-04-22T06:49:15.000Z,1052, Sentinel 2, 25 
2020-01-24T07:09:20.000Z,872, Sentinel 2, 335 
2019-06-04T18:49:30.999Z,1177, Sentinel 2, 130 
2019-07-23T06:19:25.000Z,1047, Sentinel 2, 85 
2020-02-02T06:50:09.999Z,875, Sentinel 2, 265 
2019-12-22T06:09:20.000Z,833, Sentinel 2, 295 
